,0,1,2,3,4
Rpl3,0.015126903,-0.010733249,-0.0053716474,-0.04369628,-0.0012020848
Mog,0.03827541,0.026000082,0.013212708,-0.014621628,0.017659683
Rplp0,0.011173825,0.013257988,-0.03799799,-0.0061449725,-0.00050263153
Thy1,0.01227686,0.01024353,-0.0173575,-0.024487149,0.018044565
Sgk1,0.015819892,0.015632156,-0.00510159,-0.044878744,-0.002514247
Gdi1,0.01506061,-0.001928174,-0.020982774,-0.008569313,0.025514418
Rps27rt,0.015838642,0.028328938,-0.021212079,-0.028190922,-0.013905027
Tcf4,0.008642407,-0.0008971207,-0.026722183,-0.029191477,-0.008507744
Arpc1b,0.015723104,0.006163911,-0.02275531,-0.018883888,-0.0058888514
Pllp,0.017713139,0.0034187837,-0.013756218,-0.03585796,-0.020610353
Atp6v1e1,0.021666033,-0.004005038,-0.011402303,-0.021964777,0.0052390276
Ndufc1,0.027632875,0.010884361,-0.00088374567,-0.017158616,0.018672936
Bcas1,0.02525722,-0.0014756228,-0.008251915,-0.020620488,-0.0036995774
S100a16,0.024525104,0.0051781153,-0.007011255,-0.02992659,-0.015247779
Hsp90b1,0.018407628,-0.01070201,-0.018915514,-0.01615192,0.0008436174
Eif1,0.016389957,0.024961527,-0.021121847,-0.015107379,0.010632839
Atp5c1,0.014484806,0.00681776,-0.02219193,0.009873721,0.061457757
X__ambiguous.Dbndd2.Gm20458,0.015009049,-5.6113422e-05,-0.01572662,-0.039064884,-0.020264877
Gja1,0.031299133,-0.02017835,-0.0062378882,-0.011859682,-0.0035877805
Ociad1,0.01917328,-0.023620386,-0.016794067,-0.01915169,-0.0007519062
Tubb5,0.029542848,-0.021276025,-0.008984591,-0.00467302,0.009215029
Timp2,0.022523694,0.0024910476,-0.014597173,-0.011598783,0.00788584
X__ambiguous.Uba52.Kxd1,0.022936786,-0.008542746,-0.0066444813,-0.029644959,-0.004602922
X15.Sep,0.009601923,0.0023205779,-0.037073486,-0.0066937655,0.0073881424
Gm2000,0.032209758,-0.00052526937,-0.0091472855,-0.0074831164,-0.006050263
Scg3,0.024341343,0.008111311,-0.0016939734,-0.031778492,-0.0026877436
Kif1a,0.023407713,0.022531692,-0.005851374,-0.016828123,0.01976391
Atp6v1b2,0.0051094578,-0.0070225922,-0.03563094,-0.021498673,0.000971398
Rps19,0.009164707,0.003620031,-0.0146378195,-0.036882527,0.0085596135
Zbtb20,0.014097045,-0.0075774607,-0.020082897,-0.0281654,-0.010169657
Myeov2,0.018570634,0.04868349,-0.0114639215,-0.032580353,-0.0025925054
Mapt,0.02033991,-0.009477978,-0.018908374,-0.010453398,0.0065913536
H3f3b,0.02051137,0.012176431,-0.009694636,-0.033073526,-0.0123797115
Tmod2,0.017686961,-0.0064310464,-0.021138147,-0.01617899,0.001878713
Gdi2,0.020742293,0.022967715,-0.022977872,-0.012104522,-0.00502018
Gabarapl1,0.023970688,0.0068538887,-0.017911488,-0.011836294,-0.004228162
Neat1,0.018923225,0.007020296,-0.026655057,-0.010074678,-0.009236976
Rpl5,0.001754824,-0.0041213236,-0.04895061,-0.012854435,-0.009635338
Rps4x,0.02220233,0.005427267,-0.021253578,-0.014638424,-0.013288095
Klc1,0.013900861,0.009611894,-0.027695427,-0.019690562,-0.0073303417
