,0,1,2,3,4
HSP90AB1,0.002047862,-0.042653125,0.0003776825,-0.024044003,-0.004519554
PSAP,-0.033674106,-0.023871772,0.012206646,-0.039731063,0.02514999
CST3,-0.03812604,-0.030957762,-0.022833189,-0.034642786,0.022277812
LTF,-0.038526025,-0.017333247,0.0049051954,-0.0442059,0.030690618
PYCARD,-0.018965578,-0.033890095,0.010956061,-0.023330193,0.01804803
TAGLN2,-0.03072903,-0.024501443,0.0016793313,-0.03386935,0.026229223
H3F3B,0.0100543415,-0.046520166,-0.0074782777,-0.005260822,-0.0018278988
ATP5MC2,-0.040808097,-0.023940742,0.008064722,-0.03753884,0.031230431
NDUFA4,-0.03619778,-0.049226567,-0.0060160295,-0.032971963,0.0076721907
CALM2,-0.020513263,-0.05313881,-0.02383646,-0.013636612,0.0052068154
AEBP1,-0.012200604,-0.07635636,-0.0377025,-0.0012210839,-0.013983321
CLDN3,-0.025981812,-0.028318135,0.010571069,-0.028316747,0.02354496
MAGED2,-0.019387055,-0.041377693,-0.018509818,-0.018805172,0.012276525
CD74,-0.021904686,-0.038831353,-0.0015833295,-0.030724656,0.008906626
ITM2B,-0.019888928,-0.030545458,0.0013109712,-0.015496803,0.025442317
TIMP1,-0.00061001076,-0.039596334,0.010177012,-0.024591807,0.00016415429
TOMM7,-0.00059842493,-0.049001455,-0.0143975215,-0.025017716,-0.010248971
TFF3,-0.08272564,-0.08328237,-0.03643197,-0.013287066,0.017247528
TMA7,0.0024583894,-0.04169469,-0.001379759,-0.013374317,0.0028474822
GNAS,-0.02494972,-0.051575862,-0.03164704,-0.023732655,0.0017362194
ROMO1,-0.023092749,-0.03770877,-0.0037090217,-0.00014736848,0.030764028
EIF1,-0.017566482,-0.042379487,-0.010882256,-0.017772552,0.011294211
LUM,-0.05163217,-0.037801735,-0.010283817,-0.03622887,0.02541303
CFL1,-0.017141137,-0.03581844,-0.013786334,-0.01888801,0.016120844
CHCHD2,-0.034149405,-0.031393785,-0.006073649,-0.029265165,0.023793563
SDC1,-0.02537907,-0.044334304,-0.011870549,-0.019238371,0.013424517
SSR4,-0.0046147574,-0.05066568,-0.01727928,-0.016387569,-0.004052436
APOD,-0.035273783,-0.027522627,-0.0024874515,-0.03185808,0.026517162
CRIP1,-0.011197453,-0.030046554,-0.0020865472,-0.030766724,0.010247346
UBL5,-0.007975757,-0.028865514,-0.0042652646,-0.023355026,0.013795511
OST4,-0.04944532,-0.047776356,-0.041938517,-0.025223784,0.019472448
PABPC1,0.0011842169,-0.0681489,-0.017328573,0.0117653515,-0.0046449415
SPINT2,-0.02305374,-0.03772071,-0.0032427544,-0.02019237,0.017160416
S100A16,-0.003852722,-0.07746805,-0.03708054,0.02070818,-0.0056604515
MIF,-0.0124601,-0.033383656,-0.003233361,-0.027218223,0.010402383
NUPR1,0.00040353934,-0.03239296,-0.00735617,-0.017395549,0.009130189
VIM,0.0113379005,-0.07255863,-0.020401854,0.018488497,-0.011464079
UQCRB,-0.014160316,-0.041713197,-0.016515814,-0.011985479,0.013227558
SELENOW,-0.033704218,-0.04931457,-0.033241402,-0.020074258,0.0122261
BTF3,-0.022251248,-0.04020852,-0.030087506,-0.011284919,0.018679857
DCN,-0.020698657,-0.045529503,-0.018971398,-0.01828285,0.009274985
GSTP1,-0.01047789,-0.044311974,-0.007863549,0.02176816,0.030543547
DSTN,-0.020606777,-0.032098625,-0.024825031,-0.031496752,0.011813992
NDUFA1,-0.009419338,-0.057311624,-0.022828728,0.0029813212,0.0046713604
COL6A2,-0.027141942,-0.060220525,-0.015624537,-0.005512818,0.009174172
ATP5MPL,-0.0289398,-0.04053768,-0.008112294,-0.011454169,0.023954216
IGFBP4,-0.0017967146,-0.06859207,-0.034918558,0.016027724,-0.0022641113
COMMD6,-0.017632725,-0.05156953,-0.021132577,0.011334054,0.020618439
NENF,-0.008941826,-0.038799133,-0.025606472,-0.016719718,0.008295774
EEF1B2,-0.012039813,-0.0508453,-0.018180136,-0.0053867744,0.0076919696
MYL12B,-0.02697823,-0.044287942,-0.028182624,-0.017683692,0.014074333
